file,title,category,paperurl,other_urls
1998-03-01-nano-threads-runtime.md,Efficient Runtime Thread Management for the Nano-Threads Programming Model,workshops,https://link.springer.com/chapter/10.1007/3-540-64359-1_688,
1998-07-01-kernel-level-nano-threads.md,Kernel-Level Scheduling for the Nano-Threads Programming Model,conferences,https://doi.org/10.1145/277830.277911,
1998-09-01-enhancing-autoscheduling-dsm-multiprocessors.md,Enhancing the performance of autoscheduling in Distributed Shared Memory multiprocessors,conferences,https://doi.org/10.1007/BFb0057892,
1999-01-01-fine-grain-multiprogramming-nanothreading.md,Fine-Grain and Multiprogramming-Conscious Nanothreading with the Solaris Operating System,conferences,,
1999-01-01-nano-threads-programming-model-specification.md,Nano-Threads: Programming Model Specification,techreports,,
1999-01-01-nanos-effective-integration-parallelism.md,NANOS: Effective integration of fine-grain parallelism exploitation and multiprogramming,techreports,https://d1wqtxts1xzle7.cloudfront.net/30609008/10.1.1.24.3922-libre.pdf?1391836507=&response-content-disposition=inline%3B+filename%3DNANOS_Effective_Integration_of_Fine_grai.pdf&Expires=1748451625&Signature=SrVkj8QKZsBSRtRzToOq4ck9XqNn048FGn1fNdrMFbTs596oMIt7MNKQnZsqrhbY57Z03gGgeiDJCtsKL2S9GGbirp4u6sqArYvDWRqir4lXEwWREa1Ow3iSUtKf-ca~1sh~g7lHby6hIS6myzPUdfqwerk8LLcQ0PNve98ymnI02cKXAsLpll8FTV4WF4auvoGsawsZMHguYZT-Dd3nJZtrkzGH71ryvCItIuYJdmyul4ozZIkLZ7bDYxqxE-q-6IL39NKGzhWapA5iNy3VrIcCRwDwzLLvNETbxyCEqxrtwvxRsTrh0z4py2q2Dygv4kW04W5WzuuPaZN~hA8f5A__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,
1999-01-01-system-software-reducing-memory-latency.md,System Software Support for Reducing Memory Latency on Distributed Shared Memory Multiprocessors,conferences,https://www.researchgate.net/profile/Dimitrios-Nikolopoulos-3/publication/2520261_System_Software_Support_for_Reducing_Memory_Latency_on_Distributed_Shared_Memory_Multiprocessors/links/0c960536d40e85ae99000000/System-Software-Support-for-Reducing-Memory-Latency-on-Distributed-Shared-Memory-Multiprocessors.pdf,
1999-06-01-sync-eval-origin2000.md,A Quantitative Architectural Evaluation of Synchronization Algorithms and Disciplines on ccNUMA Systems: The Case of the SGI Origin2000,conferences,https://doi.org/10.1145/305138.305209,
1999-08-01-kernel-nano-threads.md,An Efficient Kernel-Level Scheduling Methodology for Multiprogrammed Shared Memory Multiprocessors,conferences,,
2000-05-01-fast-synchronization-hybrid-primitives.md,Fast synchronization on scalable cache-coherent multiprocessors using hybrid primitives,conferences,https://doi.org/10.1109/IPDPS.2000.846056,
2000-05-01-leveraging-transparent-data-distribution-openmp.md,Leveraging Transparent Data Distribution in OpenMP via User-Level Dynamic Page Migration,conferences,https://doi.org/10.1007/3-540-39999-2_40,
2000-05-01-user-level-page-migration.md,A Case for User-Level Dynamic Page Migration,conferences,https://doi.org/10.1145/335231.335243,
2000-06-01-efficient-dynamic-parallelism-openmp.md,Efficient Dynamic Parallelism with OpenMP on Linux SMPs,conferences,,
2000-06-01-nanos-cpu-manager.md,A Tool to Schedule Parallel Applications on Multiprocessors: The NANOS CPU Manager,workshops,https://doi.org/10.1007/3-540-39997-6_7,
2000-06-01-runtime-data-distribution-openmp.md,A Transparent Runtime Data Distribution Engine for OpenMP,manuscripts,https://onlinelibrary.wiley.com/doi/abs/10.1155/2000/417570,https://doi.org/10.1155/2000/417570
2000-08-01-page-migration-smp.md,User-Level Dynamic Page Migration for Multiprogrammed Shared-Memory Multiprocessors,conferences,https://doi.org/10.1109/ICPP.2000.876083,
2000-10-01-upmlib-memory-performance.md,UPMLIB: A Runtime System for Tuning the Memory Performance of OpenMP Programs on Scalable Shared-Memory Multiprocessors,workshops,https://doi.org/10.1007/3-540-40889-4_7,
2000-11-01-openmp-data-distribution.md,Is Data Distribution Necessary in OpenMP?,conferences,https://doi.org/10.1109/SC.2000.10025,
2001-01-01-iccs-interruptlets-java.md,Improving Java Server Performance with Interruptlets,conferences,https://doi.org/10.1007/3-540-45545-0_31,
2001-06-01-shared-memory-data-distribution.md,The Trade-Off Between Implicit and Explicit Data Distribution in Shared-Memory Programming Paradigms,conferences,https://doi.org/10.1145/377792.377801,
2001-06-01-study-implicit-data-distribution-openmp.md,A Study of Implicit Data Distribution Methods for OpenMP Using the SPEC Benchmarks,workshops,https://doi.org/10.1007/3-540-44587-0_11,
2001-06-01-synchronization-ccnuma.md,The Architectural and Operating System Implications on the Performance of Synchronization on ccNUMA Multiprocessors,manuscripts,https://doi.org/10.1023/A:1011168003859,
2001-08-01-scheduling-synchronizing-threads.md,Informing Algorithms for Efficient Scheduling of Synchronizing Threads on Multiprogrammed SMPs,conferences,https://doi.org/10.1109/ICPP.2001.952054,
